lamT,lamD0.0001omega0,lamD0.0001omega60,lamD10omega0,lamD10omega60
2.71,0.999799287450081,0.999170508181167,0.96845177486533,0.943876366987711
2.72,0.999805494945332,0.999191942231254,0.968851574873872,0.944469692561983
2.73,0.999811510459576,0.999212822425966,0.969246308351851,0.945056745640726
2.74,0.999817339930266,0.999233163076912,0.9696360395057,0.945637592535259
2.75,0.999822989111225,0.999252978125891,0.970020831728183,0.94621229885587
2.76,0.999828463578327,0.999272281154448,0.970400747608711,0.946780929519232
2.77,0.999833768734996,0.999291085393177,0.97077584894352,0.947343548755736
2.78,0.999838909817546,0.999309403730797,0.971146196745722,0.947900220116743
2.79,0.999843891900345,0.999327248722981,0.971511851255232,0.948451006481765
2.8,0.999848719900824,0.999344632600966,0.971872871948563,0.948995970065567
2.81,0.999853398584331,0.999361567279932,0.972229317548505,0.949535172425193
2.82,0.999857932568837,0.999378064367171,0.97258124603367,0.950068674466922
2.83,0.999862326329489,0.999394135170044,0.972928714647931,0.950596536453148
2.84,0.999866584203031,0.999409790703729,0.973271779909726,0.951118818009182
2.85,0.999870710392082,0.999425041698774,0.973610497621254,0.951635578129993
2.86,0.999874708969288,0.999439898608446,0.973944922877553,0.952146875186868
2.87,0.999878583881337,0.999454371615905,0.974275110075459,0.952652766934009
2.88,0.999882338952857,0.999468470641173,0.974601112922454,0.953153310515051
2.89,0.999885977890191,0.999482205347943,0.974922984445407,0.953648562469522
2.9,0.999889504285055,0.999495585150197,0.975240776999192,0.954138578739229
2.91,0.999892921618081,0.99950861921866,0.975554542275208,0.954623414674574
2.92,0.999896233262258,0.999521316487084,0.975864331309788,0.955103125040808
2.93,0.999899442486255,0.999533685658375,0.976170194492496,0.955577764024217
2.94,0.999902552457651,0.999545735210556,0.97647218157433,0.956047385238243
2.95,0.999905566246059,0.999557473402578,0.976770341675806,0.956512041729538
2.96,0.999908486826158,0.99956890827998,0.977064723294955,0.956971785983961
2.97,0.99991131708063,0.999580047680404,0.977355374315209,0.957426669932499
2.98,0.999914059803001,0.999590899238971,0.977642342013187,0.95787674495714
2.99,0.999916717700401,0.999601470393506,0.977925673066391,0.958322061896673
3,0.999919293396238,0.999611768389644,0.97820541356079,0.958762671052431
3.01,0.999921789432783,0.999621800285792,0.978481608998326,0.959198622193974
3.02,0.999924208273681,0.999631572957967,0.978754304304308,0.95962996456471
3.03,0.999926552306385,0.999641093104511,0.97902354383472,0.960056746887458
3.04,0.99992882384451,0.999650367250681,0.979289371383441,0.960479017369949
3.05,0.999931025130116,0.999659401753121,0.979551830189363,0.960896823710277
3.06,0.999933158335924,0.99966820280422,0.979810962943427,0.96131021310228
3.07,0.999935225567457,0.999676776436354,0.980066811795564,0.961719232240875
3.08,0.999937228865121,0.999685128526026,0.980319418361555,0.962123927327333
3.09,0.999939170206217,0.999693264797886,0.980568823729799,0.962524344074495
3.1,0.999941051506893,0.999701190828664,0.980815068467994,0.962920527711936
3.11,0.999942874624038,0.999708912050983,0.981058192629737,0.963312522991076
3.12,0.999944641357111,0.999716433757089,0.981298235761042,0.963700374190233
3.13,0.999946353449917,0.999723761102478,0.981535236906766,0.964084125119627
3.14,0.999948012592332,0.999730899109425,0.981769234616966,0.964463819126325
3.15,0.999949620421968,0.999737852670432,0.982000266953167,0.964839499099139
3.16,0.999951178525791,0.999744626551578,0.982228371494553,0.965211207473473
3.17,0.999952688441685,0.999751225395786,0.982453585344078,0.965578986236111
3.18,0.999954151659973,0.999757653726008,0.982675945134506,0.965942876929965
3.19,0.999955569624884,0.999763915948319,0.982895487034363,0.966302920658766
3.2,0.999956943735982,0.999770016354946,0.983112246753827,0.966659158091703
3.21,0.999958275349549,0.999775959127202,0.983326259550529,0.967011629468023
3.22,0.999959565779916,0.999781748338355,0.983537560235295,0.967360374601573
